term,frequency
toe-eh,17
siti,15
weap,13
i.d,8
zittend,6
santani,6
boeng,5
jongetje,5
stoffer,5
soeti,4
ziekenhuis,4
sapi,4
gescreend,4
bodja,4
bericht,4
privékamer,4
toegewezen,4
strijkijzer,4
dr,4
wiel,4
tuin,4
uitgehongerd,4
doodziek,4
ketjil,4
enfin,4
veel,4
sigaretten,4
jos,3
kila,3
erger,3
anema,3
naoemi,3
gewassen,3
broer,3
evenknie,3
oog,3
toeziend,3
graaff,3
vooraan,3
voskuyl,3
kronenberg,3
v.l.n.r,3
ohms,3
gebogen,3
spiering,3
bleekman,3
staand,3
ln.r,3
sampian,3
doedoek,3
hêlmê,3
ma,3
wmw,3
tmmf,3
opleiding,3
volk,3
spelen,3
gelachen,3
hysterische,3
magere,3
onswas,3
bemoeide,3
ruzie,3
maleisnam,3
immers,3
grap,3
behaaglijk,3
rekte,3
pyjama,3
geenszins,3
lopen,3
hielpen,3
hoofdbaboe,3
ontschoten,3
arang,3
erin,3
brandende,3
waste,3
verhuizingen,3
batavia,3
gulden,3
trouw,3
indonesische,3
onuitwisbare,3
goederen,3
verwisseling,3
teneinde,3
gereinigd,3
wasvrouw,3
sokken,3
ondergoed,3
gedaan,3
staan,3
uniformen,3
per,3
dwars,3
scharminkeltje,3
leven,3
jaar,3
kiespijn,3
blijkt,3
wil,3
gekkenhuis,3
telefoonsectie,3
v.p,3
rundberg,3
onna,3
tegenover,3
kok,3
gaat,3
peter,3
lacht,3
vallen,2
liet,2
zakdoek,2
stoel,2
luie,2
malas,2
krossie,2
voorbeeld,2
slaaf,2
bang,2
bush,2
verzorgt,2
kamertjes,2
geroezemoes,2
gegiechel,2
kippenhok,2
kakelend,2
gevoegd,2
achtergelaten,2
verzameling,2
arriveerden,2
omgekomen,2
verstikt,2
rook,2
vermoedelijk,2
redden,2
ruimt,2
dienstmeiden,2
hielp,2
respect,2
bet,2
ergens,2
opmaakte,2
opruimde,2
persoonlijke,2
b-divisie,2
kader,2
katjong,2
uurtje,2
pakken,2
present,2
missie,2
aantekeningen,2
losse,2
eindigen,2
dagprijzen,2
zake,2
onverrichter,2
slof,2
tropenuniformen,2
oor,2
pkn!pten,2
werk7,2
legertje,2
ngawi,2
cp,2
misverstandje,2
verdween,2
inheemse,2
knil-militairen,2
denk,2
tomo,2
serillo,2
huishoudster,2
stuks,2
gister,2
drukker,2
iet,2
zoveel,2
sibelia,2
tante,2
wel.pietwaar,2
ook.maar,2
wilt,2
baboe.zij,2
ue,2
demarcatielijn,2
aktie,2
openbare,2
aten,2
rohata,2
blijham,2
proempang-0801,2
kaliwadas9307,2
diender,2
johan,2
huishoudelijk,2
doorgenomen,2
bijzonder,2
tocht,2
giechelende,2
bedrijven,2
subversieve,2
ongehoorzame,2
delima,2
karweitjes,2
intimiteiten,2
aanleiding,2
correct,2
verhoudingen,2
verkeerde,2
schept,2
gekheid,2
vriendschappelijk,2
opzichte,2
tegenf,2
stribbelt,2
langzamerhand,2
geduldig,2
wasserij,2
wandelende,2
zeven,2
baboeprobleem,2
403e,2
paradijs,2
uitgebreid,2
onenigheid,2
speelde,2
overgelaten,2
zuster,2
buren,2
bracht,2
plee,2
telkens,2
sakit,2
roemah,2
verbonden,2
vleugel,2
waaraan,2
burgerlijk,2
centraal,2
cbz,2
staande,2
riep,2
tjatjing,2
menige,2
broertjes,2
huisdokter,2
verraad,2
liefdesrelatie,2
wereldschokkende,2
verboden,2
veteranenervaringen,2
bale,2
alang,2
doffe,2
bak,2
hard,2
vijandelijke,2
djogjakarta,2
semarang,2
aanwezig,2
oudere,2
marinekazerne,2
gelegen,2
pasar,2
orang,2
setenga,2
noemden,2
bleek,2
kamponghuizen,2
zogenaamde,2
baas,2
ontberen,2
voorzieningen,2
leerde,2
infanterie,2
hout,2
gedeelte,2
staf-cie,2
3-1-15,2
ii,2
overgenomen,2
u-brigade,2
ajam,2
goenoeng,2
bieden,2
peleton,2
breiden,2
zodanig,2
rekening,2
besluiten,2
duidelijkheid,2
hitte,2
haven,2
daarbij,2
buitengewoon,2
hospitaal,2
annie,2
jas,2
lieske,2
grieten,2
flinke,2
teleurstellen,2
rest,2
ontbijt,2
baroe,2
aloon,2
geworden,2
dienaar,2
soerabaja,2
tenminste,2
wasgoed,2
donderen,2
toelangan,2
afdeed,2
trots,2
gekocht,2
slap,2
plaosan,2
geloof,2
enz,2
acties,2
waarderen,2
tegenpartij,2
loog,2
rondliep,2
bleven,2
politionele,2
viespeuk,2
hysterisch,2
gillend,2
gooide,2
pakte,2
platte,2
inroepen,2
baboeszij,2
verveeld,2
lampenisten,2
badhokje,2
aap,2
dander,2
stevig,2
doch,2
lucht,2
tevens,2
ijdhun,2
luid,2
jamblikjes,2
messen,2
brood:jm,2
smijten,2
ijverig,2
weggestuurd,2
aankwam,2
zorgde,2
jongen,2
onverhoopt,2
geraakt,2
hechtte,2
langer,2
naarmate,2
nederlands,2
sprak,2
hl,2
wnh,2
iffl,2
strijk,2
organiek,2
vrijgezel,2
toegevoegd,2
peloton,2
ontrouw,2
opmerking,2
surinamers,2
minie,2
kopen,2
asmina,2
javaans,2
ost,2
vanmorgen,2
kazerne,2
luttele,2
overplaatsing,2
kempen,2
gearrangeerd,2
huishouden,2
dienstmeisje,2
hangmat,2
zorgt,2
allemaal,2
weken,2
waarop,2
bezit,2
kinderen,2
she,2
family,2
with,2
one,2
gezin,2
gesteld,2
inwoning,2
komen,2
vrachtwagen,2
verschillende,2
dergelijke,2
opruimen,2
losten,2
laadden,2
vrachtwagens,2
contact,2
indonesië,2
inkt,2
spullen,2
zes,2
verzorgde,2
wasbaboes,2
onderkleding,2
uitgevoerd,2
uitrusting,2
bewapening,2
beschikbaar,2
werkkleding,2
gebruikte,2
schietoefeningen,2
detachement,2
vaderland,2
selemat,2
tidoer,2
k.n.i.l,2
krent,2
jje,2
gekend,2
banjak,2
baik,2
air,2
onderhoudswerkzaamheden,2
nieuws,2
acht,2
djongos,2
actie,2
bataljon,2
rijst,2
ringworm,2
balkon,2
kost,2
kwartje,2
plooi,2
dusver,2
strijkt,2
wast,2
secties,2
half,2
eén,2
aantal,2
organieke,2
onderdeel,2
dame,2
ien,2
regelde,2
tom,2
8e,2
sterkte,2
wasbaboe,2
meegenomen,2
ont,2
kleine,2
boe,2
zat,2
spichtig,2
bied,2
geven,2
zomaar,2
ideale,2
brutaal,2
initiatieven,2
zelfstandig,2
zorgzaam,2
betrouwbaar,2
zeg,2
spreekt,2
gewerkt,2
reusachtig,2
knapt,2
initiatief,2
iets,2
waarachtig,2
vrouwtje,2
slank,2
grote,2
dikke,2
zoveelste,2
eieren,2
geef,2
helemaal,2
wonder,2
hele,2
grietje,2
duidelijk,2
mensen,2
chauffeur,2
drietonner,2
gedonder,2
welste,2
kankeren,2
tijd,2
vrouw,2
doet,2
vanavond,2
teruggegaan,2
koop,2
kippen,2
wist,2
eindje,2
verbindingspost,2
itje,2
kroontje,2
maken,2
drie,2
zit,2
stoelen,2
nee,2
daarmee,2
zorgen,2
kletsen,2
lou,2
beloften,2
plannen,2
geweldige,2
komt,2
sarong,2
huis,2
gosis,1
gedroeg,1
hoort,1
rapen,1
sigaret,1
rustig,1
briefje,1
staken,1
gevaarlijkste,1
merabi,1
vuurspuwende,1
verzamelen,1
inlichtingen,1
vertrouwelijke,1
verbindingsafdeling,1
doelbewust,1
uitstekend,1
studente,1
